corp_code,corp_name,corp_eng_name,induty_code,modify_date,recent_audit_rcept_dt,recent_audit_report,recent_audit_rcept_no,revenue_raw
00171061,케이에스오토시스,"KSAUTOSYS CO.,LTD.",2629,20260309,20260401,감사보고서 (2025.12),20260401003300,
01297366,은성전장,EUN SUNG ELECTRONIC,28111,20250929,20260407,감사보고서 (2025.12),20260407001000,
00529392,제일정공,"JEIL PRECISION INDUSTRIAL CO., LTD.",25929,20260324,20260402,감사보고서 (2025.12),20260402000771,
00553371,현대파텍스,PARTECS COMPANY. Ltd,30,20260326,20260327,감사보고서 (2025.12),20260327001241,
02001650,캐시카우메탈,"CASHCOWMETAL CO.,LTD.",46791,20260423,,,,
01757859,서현메탈,"Juwon Metal Co., Ltd.",46417,20260309,20260327,감사보고서 (2025.12),20260327001421,
01864919,디오토(D-AUTOInc.),D-AUTO Inc.,25913,20250916,20260410,감사보고서 (2025.12),20260410000853,
01913640,지원오토,"G1 Automation CO.,LTD",29229,20250428,20260409,[기재정정]감사보고서 (2025.12),20260409000803,
01911970,정연메탈,JY METAL,46721,20250428,20260406,감사보고서 (2025.12),20260406000191,
00379964,한국미쓰비시전기오토메이션,"MITSUBISHI ELECTRIC AUTOMATION KOREA CO.,LTD",4659,20250716,20250711,감사보고서 (2025.03),20250711000116,
01913668,한국엠엠씨일렉트로닉스,MMC ELECTRONICS KOREA INC,46,20250709,,,,
01906640,리메탈인터내셔널,"REMETAL INTERNATIONAL, INC",46800,20250508,20260304,[기재정정]감사보고서 (2025.12),20260304000600,
01920172,거성정공,"GEO SEONG PRECISION CO.,LTD",30399,20250502,20260402,감사보고서 (2025.12),20260402002657,
00768964,세아에스에이,"SEAH Solution Automation Co.,Ltd.",28123,20250513,20260408,감사보고서 (2025.12),20260408001942,
01925140,송탄현대서비스,songtan hyundai service,30201,20250514,20260410,감사보고서 (2025.12),20260410000847,
01929872,대경정공,"Daekyung Precision Co., Ltd",29210,20250514,20260409,감사보고서 (2025.12),20260409002547,
01929678,선진정밀,SUNJIN Precision,25913,20250514,20260409,감사보고서 (2025.12),20260409002614,
01947452,덕윤다이캐스팅,"Dukyun Diecasting Co., Ltd",25924,20250901,20260430,[기재정정]감사보고서 (2025.12),20260430001386,
00968485,아웃도어파크,OutdoorPark.Co.Ltd.,4610,20260211,20260409,감사보고서 (2025.12),20260409001817,
00603320,삼원중공업,"SAMWON HEAVY INDUSTRY CO.,LTD",3111,20250625,20260306,감사보고서 (2025.12),20260306000067,
01809435,창평모빌리티,Changpyeong Co. Ltd,25923,20260225,20260402,감사보고서 (2025.12),20260402000653,
01958069,아이피중공업,"IP Heavy Industries, Inc",31111,20250925,20260409,감사보고서 (2025.12),20260409001877,
02010685,알티자동화,RT Automation Co.Ltd,26129,20260420,,,,
02017095,금호정밀,"Kumho Precision Co., Ltd.",30399,20260507,,,,
01913613,대도메탈,"DAEDOMETAL CO.,LTD",24212,20250508,20260408,감사보고서 (2025.12),20260408001196,
01794249,현대스틸파이프,"HYUNDAI STEEL PIPE CO., LTD.",24132,20260327,20260327,감사보고서 (2025.12),20260327000221,
01991082,한국합금밸브공업,"Korea Alloy Valve Industry Co., Ltd",29133,20260304,,,,
00119724,두원중공업,"Doowon Heavy Industrial Co., Ltd.",30,20250509,,,,
00305978,오피모빌리티씨파워코리아,"Plastic Omnium Co.,Ltd.",30,20260504,20260406,감사보고서 (2025.12),20260406003404,
00811266,삼영중공업,"SAM YOUNG HEAVY INDUSTRIES CO.,LTD",291,20260128,20260408,감사보고서 (2025.12),20260408002505,
00976138,현대표지,"Hyun-Dai Sign Co., Ltd.",25994,20260224,20260413,감사보고서 (2025.12),20260413002259,
00811992,미부중공업,"MIBOO TECHNOLOGY CO., LTD",25,20260224,20260403,감사보고서 (2025.12),20260403001197,
00805760,엘에스메탈,"LS Metal Co.,Ltd.",259,20260406,20260330,연결감사보고서 (2025.12),20260330001446,
